Aug 19 18:16:52 smarty run.sh[952418]: 0.24.891.560 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.599.963 I slot print_timing: id  0 | task 0 |        eval time =   28034.38 ms /  2361 tokens (   11.88 ms per token,    84.18 tokens per second)
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.599.963 I slot print_timing: id  0 | task 0 |       total time =   69707.81 ms / 86089 tokens
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.599.964 I slot print_timing: id  0 | task 0 |    graphs reused =        833
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.599.965 I slot print_timing: id  0 | task 0 | draft acceptance = 0.60135 ( 1519 accepted /  2526 generated), mean len =  2.80
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.601.379 I slot      release: id  0 | task 0 | stop processing: n_tokens = 86089, truncated = 0
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.843.983 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.968 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.844.479 I slot launch_slot_: id  0 | task 887 | processing task, is_child = 0
Aug 19 18:18:07 smarty run.sh[952418]: 1.40.163.566 I slot print_timing: id  0 | task 887 | n_gen =    257, tg =  85.20 t/s, tg_3s =  85.53 t/s
Aug 19 18:18:10 smarty run.sh[952418]: 1.43.186.290 I slot print_timing: id  0 | task 887 | n_gen =    524, tg =  86.77 t/s, tg_3s =  88.33 t/s
Aug 19 18:18:13 smarty run.sh[952418]: 1.46.203.560 I slot print_timing: id  0 | task 887 | n_gen =    790, tg =  87.23 t/s, tg_3s =  88.16 t/s
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.391.793 I slot print_timing: id  0 | task 887 | prompt eval time =    2314.30 ms /  2812 tokens (    0.82 ms per token,  1215.06 tokens per second)
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.391.794 I slot print_timing: id  0 | task 887 |        eval time =   10232.86 ms /   910 tokens (   11.26 ms per token,    88.83 tokens per second)
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.391.795 I slot print_timing: id  0 | task 887 |       total time =   12547.16 ms /  3722 tokens
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.391.795 I slot print_timing: id  0 | task 887 |    graphs reused =       1131
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.391.797 I slot print_timing: id  0 | task 887 | draft acceptance = 0.67108 (  608 accepted /   906 generated), mean len =  3.01
Aug 19 18:18:14 smarty run.sh[952418]: 1.47.393.370 I slot      release: id  0 | task 887 | stop processing: n_tokens = 89811, truncated = 0
Aug 19 18:18:15 smarty run.sh[952418]: 1.47.656.644 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:15 smarty run.sh[952418]: 1.47.657.191 I slot launch_slot_: id  0 | task 1194 | processing task, is_child = 0
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.763.999 I slot print_timing: id  0 | task 1194 | prompt eval time =     521.98 ms /   212 tokens (    2.46 ms per token,   406.15 tokens per second)
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.764.001 I slot print_timing: id  0 | task 1194 |        eval time =    1584.67 ms /   154 tokens (   10.36 ms per token,    96.55 tokens per second)
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.764.001 I slot print_timing: id  0 | task 1194 |       total time =    2106.65 ms /   366 tokens
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.764.001 I slot print_timing: id  0 | task 1194 |    graphs reused =       1176
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.764.003 I slot print_timing: id  0 | task 1194 | draft acceptance = 0.75887 (  107 accepted /   141 generated), mean len =  3.28
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.765.579 I slot      release: id  0 | task 1194 | stop processing: n_tokens = 90177, truncated = 0
Aug 19 18:18:17 smarty run.sh[952418]: 1.49.999.473 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:17 smarty run.sh[952418]: 1.50.000.004 I slot launch_slot_: id  0 | task 1244 | processing task, is_child = 0
Aug 19 18:18:21 smarty run.sh[952418]: 1.54.369.718 I slot print_timing: id  0 | task 1244 | n_gen =    255, tg =  83.91 t/s, tg_3s =  84.23 t/s
Aug 19 18:18:24 smarty run.sh[952418]: 1.57.388.711 I slot print_timing: id  0 | task 1244 | n_gen =    504, tg =  83.19 t/s, tg_3s =  82.48 t/s
Aug 19 18:18:27 smarty run.sh[952418]: 2.00.411.005 I slot print_timing: id  0 | task 1244 | n_gen =    754, tg =  83.03 t/s, tg_3s =  82.72 t/s
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.257.320 I slot print_timing: id  0 | task 1244 | prompt eval time =    1342.35 ms /  1335 tokens (    1.01 ms per token,   994.53 tokens per second)
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.257.322 I slot print_timing: id  0 | task 1244 |        eval time =    9914.74 ms /   836 tokens (   11.87 ms per token,    84.22 tokens per second)
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.257.322 I slot print_timing: id  0 | task 1244 |       total time =   11257.09 ms /  2171 tokens
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.257.323 I slot print_timing: id  0 | task 1244 |    graphs reused =       1461
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.257.326 I slot print_timing: id  0 | task 1244 | draft acceptance = 0.63206 (  548 accepted /   867 generated), mean len =  2.90
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.258.898 I slot      release: id  0 | task 1244 | stop processing: n_tokens = 92349, truncated = 0
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.496.708 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:28 smarty run.sh[952418]: 2.01.497.235 I slot launch_slot_: id  0 | task 1537 | processing task, is_child = 0
Aug 19 18:18:33 smarty run.sh[952418]: 2.06.077.009 I slot print_timing: id  0 | task 1537 | n_gen =    241, tg =  79.19 t/s, tg_3s =  79.52 t/s
Aug 19 18:18:36 smarty run.sh[952418]: 2.09.095.658 I slot print_timing: id  0 | task 1537 | n_gen =    492, tg =  81.17 t/s, tg_3s =  83.15 t/s
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.808.623 I slot print_timing: id  0 | task 1537 | prompt eval time =    1548.97 ms /  1600 tokens (    0.97 ms per token,  1032.94 tokens per second)
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.808.625 I slot print_timing: id  0 | task 1537 |        eval time =    6762.19 ms /   565 tokens (   11.99 ms per token,    83.40 tokens per second)
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.808.626 I slot print_timing: id  0 | task 1537 |       total time =    8311.16 ms /  2165 tokens
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.808.626 I slot print_timing: id  0 | task 1537 |    graphs reused =       1653
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.808.629 I slot print_timing: id  0 | task 1537 | draft acceptance = 0.63419 (  371 accepted /   585 generated), mean len =  2.90
Aug 19 18:18:37 smarty run.sh[952418]: 2.09.810.241 I slot      release: id  0 | task 1537 | stop processing: n_tokens = 94515, truncated = 0
Aug 19 18:18:37 smarty run.sh[952418]: 2.10.330.289 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:37 smarty run.sh[952418]: 2.10.330.820 I slot launch_slot_: id  0 | task 1736 | processing task, is_child = 0
Aug 19 18:18:41 smarty run.sh[952418]: 2.13.780.670 I slot print_timing: id  0 | task 1736 | n_gen =    242, tg =  80.07 t/s, tg_3s =  80.39 t/s
Aug 19 18:18:44 smarty run.sh[952418]: 2.16.805.681 I slot print_timing: id  0 | task 1736 | n_gen =    500, tg =  82.68 t/s, tg_3s =  85.29 t/s
Aug 19 18:18:47 smarty run.sh[952418]: 2.19.834.934 I slot print_timing: id  0 | task 1736 | n_gen =    713, tg =  78.55 t/s, tg_3s =  70.31 t/s
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.703.273 I slot print_timing: id  0 | task 1736 | prompt eval time =     439.66 ms /    39 tokens (   11.27 ms per token,    88.70 tokens per second)
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.703.275 I slot print_timing: id  0 | task 1736 |        eval time =   10932.55 ms /   864 tokens (   12.67 ms per token,    78.94 tokens per second)
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.703.275 I slot print_timing: id  0 | task 1736 |       total time =   11372.21 ms /   903 tokens
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.703.276 I slot print_timing: id  0 | task 1736 |    graphs reused =       1963
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.703.279 I slot print_timing: id  0 | task 1736 | draft acceptance = 0.58493 (  551 accepted /   942 generated), mean len =  2.75
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.704.984 I slot      release: id  0 | task 1736 | stop processing: n_tokens = 95419, truncated = 0
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.935.730 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:49 smarty run.sh[952418]: 2.21.936.265 I slot launch_slot_: id  0 | task 2053 | processing task, is_child = 0
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.810.167 I slot print_timing: id  0 | task 2053 | prompt eval time =     954.65 ms /   742 tokens (    1.29 ms per token,   777.25 tokens per second)
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.810.169 I slot print_timing: id  0 | task 2053 |        eval time =     918.99 ms /    96 tokens (    9.67 ms per token,   103.37 tokens per second)
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.810.170 I slot print_timing: id  0 | task 2053 |       total time =    1873.64 ms /   838 tokens
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.810.170 I slot print_timing: id  0 | task 2053 |    graphs reused =       1987
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.810.173 I slot print_timing: id  0 | task 2053 | draft acceptance = 0.91026 (   71 accepted /    78 generated), mean len =  3.73
Aug 19 18:18:51 smarty run.sh[952418]: 2.23.811.867 I slot      release: id  0 | task 2053 | stop processing: n_tokens = 96258, truncated = 0
Aug 19 18:18:51 smarty run.sh[952418]: 2.24.013.090 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.970 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:51 smarty run.sh[952418]: 2.24.013.620 I slot launch_slot_: id  0 | task 2083 | processing task, is_child = 0
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.732.998 I slot print_timing: id  0 | task 2083 | n_gen =    269, tg =  88.56 t/s, tg_3s =  88.88 t/s
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.803.836 I slot print_timing: id  0 | task 2083 | prompt eval time =    2692.97 ms /  2981 tokens (    0.90 ms per token,  1106.96 tokens per second)
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.803.837 I slot print_timing: id  0 | task 2083 |        eval time =    3097.08 ms /   277 tokens (   11.22 ms per token,    89.12 tokens per second)
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.803.838 I slot print_timing: id  0 | task 2083 |       total time =    5790.06 ms /  3258 tokens
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.803.838 I slot print_timing: id  0 | task 2083 |    graphs reused =       2073
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.803.840 I slot print_timing: id  0 | task 2083 | draft acceptance = 0.71212 (  188 accepted /   264 generated), mean len =  3.14
Aug 19 18:18:57 smarty run.sh[952418]: 2.29.805.498 I slot      release: id  0 | task 2083 | stop processing: n_tokens = 99515, truncated = 0
Aug 19 18:18:57 smarty run.sh[952418]: 2.30.021.255 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.920 (> 0.100 thold), f_keep = 1.000
Aug 19 18:18:57 smarty run.sh[952418]: 2.30.021.802 I slot launch_slot_: id  0 | task 2176 | processing task, is_child = 0
Aug 19 18:19:02 smarty run.sh[952418]: 2.34.888.161 I slot print_timing: id  0 | task 2176 | prompt processing, n_tokens =   6144, progress = 0.98, t =   4.63 s / 1327.20 tokens per second
Aug 19 18:19:03 smarty run.sh[952418]: 2.36.506.285 I slot print_timing: id  0 | task 2176 | prompt processing, n_tokens =   8112, progress = 1.00, t =   6.26 s / 1294.87 tokens per second
Aug 19 18:19:04 smarty run.sh[952418]: 2.37.106.843 I slot print_timing: id  0 | task 2176 | prompt processing, n_tokens =   8624, progress = 1.00, t =   6.92 s / 1246.56 tokens per second
Aug 19 18:19:07 smarty run.sh[952418]: 2.40.345.235 I slot print_timing: id  0 | task 2176 | n_gen =    237, tg =  78.22 t/s, tg_3s =  78.55 t/s
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.143.105 I slot print_timing: id  0 | task 2176 | prompt eval time =    7306.06 ms /  8628 tokens (    0.85 ms per token,  1180.94 tokens per second)
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.143.107 I slot print_timing: id  0 | task 2176 |        eval time =    5814.88 ms /   456 tokens (   12.78 ms per token,    78.25 tokens per second)
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.143.107 I slot print_timing: id  0 | task 2176 |       total time =   13120.94 ms /  9084 tokens
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.143.108 I slot print_timing: id  0 | task 2176 |    graphs reused =       2229
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.143.110 I slot print_timing: id  0 | task 2176 | draft acceptance = 0.62474 (  298 accepted /   477 generated), mean len =  2.87
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.144.958 I slot      release: id  0 | task 2176 | stop processing: n_tokens = 108600, truncated = 0
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.380.974 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.971 (> 0.100 thold), f_keep = 1.000
Aug 19 18:19:10 smarty run.sh[952418]: 2.43.381.517 I slot launch_slot_: id  0 | task 2342 | processing task, is_child = 0
Aug 19 18:19:16 smarty run.sh[952418]: 2.49.524.571 I slot print_timing: id  0 | task 2342 | n_gen =    219, tg =  71.98 t/s, tg_3s =  72.31 t/s
Aug 19 18:19:19 smarty run.sh[952418]: 2.52.544.444 I slot print_timing: id  0 | task 2342 | n_gen =    472, tg =  77.87 t/s, tg_3s =  83.78 t/s
Aug 19 18:19:23 smarty run.sh[952418]: 2.55.559.737 I slot print_timing: id  0 | task 2342 | n_gen =    680, tg =  74.91 t/s, tg_3s =  68.98 t/s
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.427.183 I slot print_timing: id  0 | task 2342 | prompt eval time =    3114.23 ms /  3239 tokens (    0.96 ms per token,  1040.07 tokens per second)
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.427.185 I slot print_timing: id  0 | task 2342 |        eval time =   10931.28 ms /   844 tokens (   12.97 ms per token,    77.12 tokens per second)
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.427.186 I slot print_timing: id  0 | task 2342 |       total time =   14045.51 ms /  4083 tokens
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.427.186 I slot print_timing: id  0 | task 2342 |    graphs reused =       2518
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.427.188 I slot print_timing: id  0 | task 2342 | draft acceptance = 0.62245 (  549 accepted /   882 generated), mean len =  2.87
Aug 19 18:19:24 smarty run.sh[952418]: 2.57.429.016 I slot      release: id  0 | task 2342 | stop processing: n_tokens = 112682, truncated = 0
Aug 19 18:19:25 smarty run.sh[952418]: 2.57.757.693 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 18:19:25 smarty run.sh[952418]: 2.57.758.262 I slot launch_slot_: id  0 | task 2641 | processing task, is_child = 0
Aug 19 18:19:28 smarty run.sh[952418]: 3.01.487.404 I slot print_timing: id  0 | task 2641 | n_gen =    231, tg =  75.76 t/s, tg_3s =  76.08 t/s
Aug 19 18:19:31 smarty run.sh[952418]: 3.04.507.104 I slot print_timing: id  0 | task 2641 | n_gen =    447, tg =  73.65 t/s, tg_3s =  71.53 t/s
Aug 19 18:19:34 smarty run.sh[952418]: 3.07.519.723 I slot print_timing: id  0 | task 2641 | n_gen =    641, tg =  70.58 t/s, tg_3s =  64.40 t/s
Aug 19 18:19:37 smarty run.sh[952418]: 3.10.536.580 I slot print_timing: id  0 | task 2641 | n_gen =    870, tg =  71.91 t/s, tg_3s =  75.91 t/s
Aug 19 18:19:41 smarty run.sh[952418]: 3.13.557.692 I slot print_timing: id  0 | task 2641 | n_gen =   1111, tg =  73.48 t/s, tg_3s =  79.77 t/s
Aug 19 18:19:44 smarty run.sh[952418]: 3.16.576.591 I slot print_timing: id  0 | task 2641 | n_gen =   1319, tg =  72.72 t/s, tg_3s =  68.90 t/s
Aug 19 18:19:47 smarty run.sh[952418]: 3.19.578.482 I slot print_timing: id  0 | task 2641 | n_gen =   1554, tg =  73.51 t/s, tg_3s =  78.28 t/s
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.922.742 I slot print_timing: id  0 | task 2641 | prompt eval time =     693.02 ms /   370 tokens (    1.87 ms per token,   533.90 tokens per second)
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.922.744 I slot print_timing: id  0 | task 2641 |        eval time =   22471.27 ms /  1682 tokens (   13.37 ms per token,    74.81 tokens per second)
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.922.745 I slot print_timing: id  0 | task 2641 |       total time =   23164.29 ms /  2052 tokens
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.922.745 I slot print_timing: id  0 | task 2641 |    graphs reused =       3112
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.922.748 I slot print_timing: id  0 | task 2641 | draft acceptance = 0.59801 ( 1080 accepted /  1806 generated), mean len =  2.79
Aug 19 18:19:48 smarty run.sh[952418]: 3.20.924.796 I slot      release: id  0 | task 2641 | stop processing: n_tokens = 114734, truncated = 0
