0.00.365.356 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.455.376 I srv    load_model: loading model 'unsloth/Qwen3.8-27B-GGUF:UD-Q4_K_XL'
0.04.161.765 I cmn          init: llama threadpool init, n_threads = 32
0.04.202.113 I common_speculative_init_result: creating MTP draft context against the target model '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.04.294.159 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.04.294.161 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.04.294.161 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.487.892 I srv    load_model: loaded multimodal model, '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/mmproj-BF16.gguf'
0.04.519.721 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.04.602.647 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.602.653 I srv  llama_server: model loaded
0.04.602.655 I srv  llama_server: listening on http://0.0.0.0:2053
1.15.738.090 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.34.874.597 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47707, progress = 0.42, t =  18.98 s / 2513.03 tokens per second
1.35.924.247 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49755, progress = 0.44, t =  20.03 s / 2483.87 tokens per second
1.36.992.696 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51803, progress = 0.46, t =  21.10 s / 2455.52 tokens per second
1.38.078.096 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53851, progress = 0.48, t =  22.18 s / 2427.93 tokens per second
1.39.182.606 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55899, progress = 0.50, t =  23.28 s / 2401.04 tokens per second
1.40.304.379 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57947, progress = 0.51, t =  24.40 s / 2374.86 tokens per second
1.41.445.905 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59995, progress = 0.53, t =  25.54 s / 2349.28 tokens per second
1.42.603.265 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  62043, progress = 0.55, t =  26.69 s / 2324.26 tokens per second
1.43.781.721 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  64091, progress = 0.57, t =  27.87 s / 2299.71 tokens per second
1.44.831.971 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  65836, progress = 0.58, t =  28.98 s / 2272.10 tokens per second
1.46.165.991 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  67884, progress = 0.60, t =  30.25 s / 2244.23 tokens per second
1.47.398.757 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  69932, progress = 0.62, t =  31.48 s / 2221.59 tokens per second
1.48.649.357 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  71980, progress = 0.64, t =  32.73 s / 2199.45 tokens per second
1.49.922.100 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  74028, progress = 0.66, t =  33.99 s / 2177.77 tokens per second
1.51.210.747 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  76076, progress = 0.67, t =  35.28 s / 2156.26 tokens per second
1.52.519.595 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  78124, progress = 0.69, t =  36.59 s / 2135.26 tokens per second
1.53.850.579 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80172, progress = 0.71, t =  37.91 s / 2114.57 tokens per second
1.55.199.804 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  82220, progress = 0.73, t =  39.26 s / 2094.23 tokens per second
1.56.566.210 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  84268, progress = 0.75, t =  40.63 s / 2074.23 tokens per second
1.57.954.339 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  86316, progress = 0.77, t =  42.01 s / 2054.63 tokens per second
1.59.360.215 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  88364, progress = 0.78, t =  43.41 s / 2035.41 tokens per second
2.00.785.399 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  90412, progress = 0.80, t =  44.84 s / 2016.49 tokens per second
2.02.232.178 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  92460, progress = 0.82, t =  46.28 s / 1997.86 tokens per second
2.03.700.155 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  94508, progress = 0.84, t =  47.74 s / 1979.47 tokens per second
2.05.185.385 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  96556, progress = 0.86, t =  49.23 s / 1961.43 tokens per second
2.06.690.991 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  98604, progress = 0.87, t =  50.73 s / 1943.67 tokens per second
2.08.218.587 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 100652, progress = 0.89, t =  52.25 s / 1926.19 tokens per second
2.09.764.015 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 102700, progress = 0.91, t =  53.80 s / 1909.06 tokens per second
2.11.328.142 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 104748, progress = 0.93, t =  55.36 s / 1892.17 tokens per second
2.12.914.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 106796, progress = 0.95, t =  56.94 s / 1875.51 tokens per second
2.14.521.163 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 108844, progress = 0.97, t =  58.55 s / 1859.15 tokens per second
2.16.146.418 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 110892, progress = 0.98, t =  60.17 s / 1843.06 tokens per second
2.17.257.472 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 112223, progress = 1.00, t =  61.35 s / 1829.24 tokens per second
2.17.848.789 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 112735, progress = 1.00, t =  61.95 s / 1819.87 tokens per second
2.21.102.206 I slot print_timing: id  0 | task 0 | n_gen =    264, tg =  86.96 t/s, tg_3s =  87.28 t/s
2.24.125.236 I slot print_timing: id  0 | task 0 | n_gen =    503, tg =  83.01 t/s, tg_3s =  79.06 t/s
2.27.150.628 I slot print_timing: id  0 | task 0 | n_gen =    741, tg =  81.56 t/s, tg_3s =  78.67 t/s
2.30.180.804 I slot print_timing: id  0 | task 0 | n_gen =    950, tg =  78.41 t/s, tg_3s =  68.97 t/s
2.33.209.864 I slot print_timing: id  0 | task 0 | n_gen =   1176, tg =  77.65 t/s, tg_3s =  74.61 t/s
2.36.245.825 I slot print_timing: id  0 | task 0 | n_gen =   1402, tg =  77.11 t/s, tg_3s =  74.44 t/s
2.39.255.226 I slot print_timing: id  0 | task 0 | n_gen =   1640, tg =  77.39 t/s, tg_3s =  79.09 t/s
2.42.269.776 I slot print_timing: id  0 | task 0 | n_gen =   1896, tg =  78.33 t/s, tg_3s =  84.92 t/s
2.45.286.820 I slot print_timing: id  0 | task 0 | n_gen =   2116, tg =  77.73 t/s, tg_3s =  72.92 t/s
2.48.320.737 I slot print_timing: id  0 | task 0 | n_gen =   2320, tg =  76.68 t/s, tg_3s =  67.24 t/s
2.51.346.475 I slot print_timing: id  0 | task 0 | n_gen =   2543, tg =  76.41 t/s, tg_3s =  73.70 t/s
2.54.377.429 I slot print_timing: id  0 | task 0 | n_gen =   2785, tg =  76.69 t/s, tg_3s =  79.84 t/s
2.57.413.567 I slot print_timing: id  0 | task 0 | n_gen =   3009, tg =  76.47 t/s, tg_3s =  73.78 t/s
3.00.429.567 I slot print_timing: id  0 | task 0 | n_gen =   3264, tg =  77.05 t/s, tg_3s =  84.55 t/s
3.03.449.618 I slot print_timing: id  0 | task 0 | n_gen =   3563, tg =  78.51 t/s, tg_3s =  99.00 t/s
3.04.699.668 I slot print_timing: id  0 | task 0 | prompt eval time =   62338.98 ms / 112739 tokens (    0.55 ms per token,  1808.48 tokens per second)
3.04.699.670 I slot print_timing: id  0 | task 0 |        eval time =   46621.90 ms /  3688 tokens (   12.64 ms per token,    79.08 tokens per second)
3.04.699.671 I slot print_timing: id  0 | task 0 |       total time =  108960.88 ms / 116427 tokens
3.04.699.671 I slot print_timing: id  0 | task 0 |    graphs reused =       1253
3.04.699.673 I slot print_timing: id  0 | task 0 | draft acceptance = 0.63720 ( 2422 accepted /  3801 generated), mean len =  2.91
3.04.701.543 I slot      release: id  0 | task 0 | stop processing: n_tokens = 116428, truncated = 0
3.04.967.943 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 1.000
3.04.968.518 I slot launch_slot_: id  0 | task 1327 | processing task, is_child = 0
3.09.837.469 I slot print_timing: id  0 | task 1327 | n_gen =    250, tg =  82.05 t/s, tg_3s =  82.37 t/s
3.12.867.714 I slot print_timing: id  0 | task 1327 | n_gen =    441, tg =  72.55 t/s, tg_3s =  63.03 t/s
3.15.873.156 I slot print_timing: id  0 | task 1327 | n_gen =    634, tg =  69.79 t/s, tg_3s =  64.22 t/s
3.18.878.382 I slot print_timing: id  0 | task 1327 | n_gen =    850, tg =  70.31 t/s, tg_3s =  71.87 t/s
3.21.175.488 I slot print_timing: id  0 | task 1327 | prompt eval time =    1833.99 ms /  1650 tokens (    1.11 ms per token,   899.68 tokens per second)
3.21.175.489 I slot print_timing: id  0 | task 1327 |        eval time =   14372.82 ms /  1059 tokens (   13.58 ms per token,    73.61 tokens per second)
3.21.175.490 I slot print_timing: id  0 | task 1327 |       total time =   16206.81 ms /  2709 tokens
3.21.175.490 I slot print_timing: id  0 | task 1327 |    graphs reused =       1631
3.21.175.492 I slot print_timing: id  0 | task 1327 | draft acceptance = 0.58747 (  675 accepted /  1149 generated), mean len =  2.76
3.21.177.398 I slot      release: id  0 | task 1327 | stop processing: n_tokens = 119136, truncated = 0
3.21.440.432 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
3.21.441.009 I slot launch_slot_: id  0 | task 1714 | processing task, is_child = 0
3.25.021.255 I slot print_timing: id  0 | task 1714 | n_gen =    238, tg =  78.34 t/s, tg_3s =  78.67 t/s
3.28.053.583 I slot print_timing: id  0 | task 1714 | n_gen =    450, tg =  74.12 t/s, tg_3s =  69.91 t/s
3.31.090.320 I slot print_timing: id  0 | task 1714 | n_gen =    687, tg =  75.43 t/s, tg_3s =  78.04 t/s
3.32.474.103 I slot print_timing: id  0 | task 1714 | prompt eval time =     554.96 ms /    94 tokens (    5.90 ms per token,   169.38 tokens per second)
3.32.474.105 I slot print_timing: id  0 | task 1714 |        eval time =   10477.86 ms /   821 tokens (   12.78 ms per token,    78.26 tokens per second)
3.32.474.105 I slot print_timing: id  0 | task 1714 |       total time =   11032.82 ms /   915 tokens
3.32.474.106 I slot print_timing: id  0 | task 1714 |    graphs reused =       1903
3.32.474.108 I slot print_timing: id  0 | task 1714 | draft acceptance = 0.65942 (  546 accepted /   828 generated), mean len =  2.98
3.32.476.035 I slot      release: id  0 | task 1714 | stop processing: n_tokens = 120052, truncated = 0
3.32.769.293 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
3.32.769.882 I slot launch_slot_: id  0 | task 1993 | processing task, is_child = 0
3.36.622.594 I slot print_timing: id  0 | task 1993 | n_gen =    214, tg =  70.93 t/s, tg_3s =  71.26 t/s
3.39.635.421 I slot print_timing: id  0 | task 1993 | n_gen =    444, tg =  73.64 t/s, tg_3s =  76.34 t/s
3.42.645.676 I slot print_timing: id  0 | task 1993 | n_gen =    665, tg =  73.57 t/s, tg_3s =  73.42 t/s
3.45.652.114 I slot print_timing: id  0 | task 1993 | n_gen =    878, tg =  72.89 t/s, tg_3s =  70.85 t/s
3.48.123.509 I slot print_timing: id  0 | task 1993 | prompt eval time =     849.73 ms /   389 tokens (    2.18 ms per token,   457.79 tokens per second)
3.48.123.511 I slot print_timing: id  0 | task 1993 |        eval time =   14503.59 ms /  1059 tokens (   13.71 ms per token,    72.95 tokens per second)
3.48.123.511 I slot print_timing: id  0 | task 1993 |       total time =   15353.32 ms /  1448 tokens
3.48.123.511 I slot print_timing: id  0 | task 1993 |    graphs reused =       2278
3.48.123.514 I slot print_timing: id  0 | task 1993 | draft acceptance = 0.59649 (  680 accepted /  1140 generated), mean len =  2.79
3.48.125.490 I slot      release: id  0 | task 1993 | stop processing: n_tokens = 121501, truncated = 0
3.48.394.200 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
3.48.394.742 I slot launch_slot_: id  0 | task 2376 | processing task, is_child = 0
3.52.604.467 I slot print_timing: id  0 | task 2376 | n_gen =    216, tg =  71.27 t/s, tg_3s =  71.59 t/s
3.55.634.310 I slot print_timing: id  0 | task 2376 | n_gen =    469, tg =  77.40 t/s, tg_3s =  83.50 t/s
3.58.663.654 I slot print_timing: id  0 | task 2376 | n_gen =    734, tg =  80.76 t/s, tg_3s =  87.48 t/s
3.59.917.046 I slot print_timing: id  0 | task 2376 | prompt eval time =    1192.70 ms /   823 tokens (    1.45 ms per token,   690.03 tokens per second)
3.59.917.048 I slot print_timing: id  0 | task 2376 |        eval time =   10329.26 ms /   822 tokens (   12.58 ms per token,    79.48 tokens per second)
3.59.917.049 I slot print_timing: id  0 | task 2376 |       total time =   11521.96 ms /  1645 tokens
3.59.917.049 I slot print_timing: id  0 | task 2376 |    graphs reused =       2542
3.59.917.052 I slot print_timing: id  0 | task 2376 | draft acceptance = 0.68649 (  554 accepted /   807 generated), mean len =  3.06
3.59.919.173 I slot      release: id  0 | task 2376 | stop processing: n_tokens = 123147, truncated = 0
4.00.312.416 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
4.00.312.963 I slot launch_slot_: id  0 | task 2649 | processing task, is_child = 0
4.03.990.546 I slot print_timing: id  0 | task 2649 | n_gen =    217, tg =  71.23 t/s, tg_3s =  71.55 t/s
4.06.991.610 I slot print_timing: id  0 | task 2649 | n_gen =    431, tg =  71.27 t/s, tg_3s =  71.31 t/s
4.09.992.556 I slot print_timing: id  0 | task 2649 | n_gen =    619, tg =  68.40 t/s, tg_3s =  62.65 t/s
4.13.024.995 I slot print_timing: id  0 | task 2649 | n_gen =    814, tg =  67.37 t/s, tg_3s =  64.30 t/s
4.16.030.575 I slot print_timing: id  0 | task 2649 | n_gen =   1035, tg =  68.60 t/s, tg_3s =  73.53 t/s
4.19.037.265 I slot print_timing: id  0 | task 2649 | n_gen =   1258, tg =  69.53 t/s, tg_3s =  74.17 t/s
4.21.097.639 I slot print_timing: id  0 | task 2649 | prompt eval time =     644.90 ms /   156 tokens (    4.13 ms per token,   241.90 tokens per second)
4.21.097.641 I slot print_timing: id  0 | task 2649 |        eval time =   20139.62 ms /  1429 tokens (   14.10 ms per token,    70.91 tokens per second)
4.21.097.641 I slot print_timing: id  0 | task 2649 |       total time =   20784.51 ms /  1585 tokens
4.21.097.642 I slot print_timing: id  0 | task 2649 |    graphs reused =       3058
4.21.097.643 I slot print_timing: id  0 | task 2649 | draft acceptance = 0.57744 (  906 accepted /  1569 generated), mean len =  2.73
4.21.099.590 I slot      release: id  0 | task 2649 | stop processing: n_tokens = 124732, truncated = 0
4.21.343.282 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
4.21.343.847 I slot launch_slot_: id  0 | task 3175 | processing task, is_child = 0
4.24.795.221 I slot print_timing: id  0 | task 3175 | prompt eval time =     518.15 ms /    18 tokens (   28.79 ms per token,    34.74 tokens per second)
4.24.795.222 I slot print_timing: id  0 | task 3175 |        eval time =    2933.04 ms /   261 tokens (   11.28 ms per token,    88.65 tokens per second)
4.24.795.223 I slot print_timing: id  0 | task 3175 |       total time =    3451.19 ms /   279 tokens
4.24.795.223 I slot print_timing: id  0 | task 3175 |    graphs reused =       3132
4.24.795.225 I slot print_timing: id  0 | task 3175 | draft acceptance = 0.81140 (  185 accepted /   228 generated), mean len =  3.43
4.24.797.337 I slot      release: id  0 | task 3175 | stop processing: n_tokens = 125011, truncated = 0
4.25.027.439 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
4.25.027.989 I slot launch_slot_: id  0 | task 3254 | processing task, is_child = 0
4.28.583.454 I slot print_timing: id  0 | task 3254 | n_gen =    233, tg =  76.75 t/s, tg_3s =  77.08 t/s
4.29.917.674 I slot print_timing: id  0 | task 3254 | prompt eval time =     532.46 ms /    41 tokens (   12.99 ms per token,    77.00 tokens per second)
4.29.917.675 I slot print_timing: id  0 | task 3254 |        eval time =    4356.95 ms /   345 tokens (   12.67 ms per token,    78.95 tokens per second)
4.29.917.676 I slot print_timing: id  0 | task 3254 |       total time =    4889.42 ms /   386 tokens
4.29.917.677 I slot print_timing: id  0 | task 3254 |    graphs reused =       3242
4.29.917.679 I slot print_timing: id  0 | task 3254 | draft acceptance = 0.69643 (  234 accepted /   336 generated), mean len =  3.09
4.29.919.619 I slot      release: id  0 | task 3254 | stop processing: n_tokens = 125398, truncated = 0
4.31.602.896 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
4.31.603.480 I slot launch_slot_: id  0 | task 3369 | processing task, is_child = 0
4.35.161.003 I slot print_timing: id  0 | task 3369 | n_gen =    228, tg =  75.56 t/s, tg_3s =  75.89 t/s
4.38.172.762 I slot print_timing: id  0 | task 3369 | n_gen =    447, tg =  74.14 t/s, tg_3s =  72.71 t/s
4.41.200.418 I slot print_timing: id  0 | task 3369 | n_gen =    698, tg =  77.07 t/s, tg_3s =  82.90 t/s
4.44.227.956 I slot print_timing: id  0 | task 3369 | n_gen =    950, tg =  78.62 t/s, tg_3s =  83.24 t/s
4.47.266.825 I slot print_timing: id  0 | task 3369 | n_gen =   1212, tg =  80.15 t/s, tg_3s =  86.22 t/s
4.48.712.765 I slot print_timing: id  0 | task 3369 | prompt eval time =     553.31 ms /    82 tokens (    6.75 ms per token,   148.20 tokens per second)
4.48.712.767 I slot print_timing: id  0 | task 3369 |        eval time =   16555.82 ms /  1358 tokens (   12.20 ms per token,    81.97 tokens per second)
4.48.712.767 I slot print_timing: id  0 | task 3369 |       total time =   17109.13 ms /  1440 tokens
4.48.712.767 I slot print_timing: id  0 | task 3369 |    graphs reused =       3663
4.48.712.770 I slot print_timing: id  0 | task 3369 | draft acceptance = 0.72600 (  930 accepted /  1281 generated), mean len =  3.18
4.48.714.788 I slot      release: id  0 | task 3369 | stop processing: n_tokens = 126837, truncated = 0
4.51.555.218 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
4.51.555.782 I slot launch_slot_: id  0 | task 3799 | processing task, is_child = 0
4.55.342.557 I slot print_timing: id  0 | task 3799 | n_gen =    232, tg =  76.26 t/s, tg_3s =  76.58 t/s
4.58.349.013 I slot print_timing: id  0 | task 3799 | n_gen =    427, tg =  70.58 t/s, tg_3s =  64.86 t/s
5.01.367.910 I slot print_timing: id  0 | task 3799 | n_gen =    667, tg =  73.55 t/s, tg_3s =  79.50 t/s
5.04.384.243 I slot print_timing: id  0 | task 3799 | n_gen =    892, tg =  73.81 t/s, tg_3s =  74.59 t/s
5.05.905.986 I slot print_timing: id  0 | task 3799 | prompt eval time =     757.30 ms /   371 tokens (    2.04 ms per token,   489.90 tokens per second)
5.05.905.988 I slot print_timing: id  0 | task 3799 |        eval time =   13592.73 ms /  1018 tokens (   13.37 ms per token,    74.82 tokens per second)
5.05.905.988 I slot print_timing: id  0 | task 3799 |       total time =   14350.04 ms /  1389 tokens
5.05.905.989 I slot print_timing: id  0 | task 3799 |    graphs reused =       4006
5.05.905.991 I slot print_timing: id  0 | task 3799 | draft acceptance = 0.64176 (  670 accepted /  1044 generated), mean len =  2.93
5.05.908.002 I slot      release: id  0 | task 3799 | stop processing: n_tokens = 128226, truncated = 0
5.06.143.403 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
5.06.143.971 I slot launch_slot_: id  0 | task 4150 | processing task, is_child = 0
5.09.974.880 I slot print_timing: id  0 | task 4150 | n_gen =    249, tg =  82.39 t/s, tg_3s =  82.72 t/s
5.12.989.150 I slot print_timing: id  0 | task 4150 | n_gen =    471, tg =  78.02 t/s, tg_3s =  73.65 t/s
5.16.002.481 I slot print_timing: id  0 | task 4150 | n_gen =    675, tg =  74.58 t/s, tg_3s =  67.70 t/s
5.19.027.864 I slot print_timing: id  0 | task 4150 | n_gen =    910, tg =  75.35 t/s, tg_3s =  77.68 t/s
5.22.056.886 I slot print_timing: id  0 | task 4150 | n_gen =   1176, tg =  77.86 t/s, tg_3s =  87.82 t/s
5.23.135.797 I slot print_timing: id  0 | task 4150 | prompt eval time =     820.82 ms /   328 tokens (    2.50 ms per token,   399.60 tokens per second)
5.23.135.799 I slot print_timing: id  0 | task 4150 |        eval time =   16170.72 ms /  1274 tokens (   12.70 ms per token,    78.72 tokens per second)
5.23.135.799 I slot print_timing: id  0 | task 4150 |       total time =   16991.54 ms /  1602 tokens
5.23.135.800 I slot print_timing: id  0 | task 4150 |    graphs reused =       4412
5.23.135.802 I slot print_timing: id  0 | task 4150 | draft acceptance = 0.69822 (  863 accepted /  1236 generated), mean len =  3.09
5.23.137.807 I slot      release: id  0 | task 4150 | stop processing: n_tokens = 129829, truncated = 0
5.23.624.160 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
5.23.624.731 I slot launch_slot_: id  0 | task 4565 | processing task, is_child = 0
5.27.493.787 I slot print_timing: id  0 | task 4565 | n_gen =    234, tg =  76.84 t/s, tg_3s =  77.17 t/s
5.30.532.124 I slot print_timing: id  0 | task 4565 | n_gen =    449, tg =  73.80 t/s, tg_3s =  70.76 t/s
5.33.535.821 I slot print_timing: id  0 | task 4565 | n_gen =    637, tg =  70.09 t/s, tg_3s =  62.59 t/s
5.36.537.030 I slot print_timing: id  0 | task 4565 | n_gen =    881, tg =  72.87 t/s, tg_3s =  81.30 t/s
5.37.564.989 I slot print_timing: id  0 | task 4565 | prompt eval time =     836.60 ms /   381 tokens (    2.20 ms per token,   455.42 tokens per second)
5.37.564.991 I slot print_timing: id  0 | task 4565 |        eval time =   13103.50 ms /   978 tokens (   13.41 ms per token,    74.56 tokens per second)
5.37.564.992 I slot print_timing: id  0 | task 4565 |       total time =   13940.10 ms /  1359 tokens
5.37.564.992 I slot print_timing: id  0 | task 4565 |    graphs reused =       4739
5.37.564.994 I slot print_timing: id  0 | task 4565 | draft acceptance = 0.64859 (  646 accepted /   996 generated), mean len =  2.95
5.37.567.040 I slot      release: id  0 | task 4565 | stop processing: n_tokens = 131188, truncated = 0
