Aug 19 17:01:27 smarty run.sh[905909]: 10.53.439.186 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.253 (> 0.100 thold), f_keep = 0.253
Aug 19 17:01:40 smarty run.sh[905909]: 11.06.052.372 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  31222, progress = 0.37, t =  11.27 s / 2769.81 tokens per second
Aug 19 17:01:41 smarty run.sh[905909]: 11.06.908.379 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  33270, progress = 0.40, t =  12.12 s / 2744.08 tokens per second
Aug 19 17:01:41 smarty run.sh[905909]: 11.07.790.530 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  35318, progress = 0.42, t =  13.00 s / 2715.97 tokens per second
Aug 19 17:01:42 smarty run.sh[905909]: 11.08.701.605 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  37366, progress = 0.45, t =  13.91 s / 2686.05 tokens per second
Aug 19 17:01:43 smarty run.sh[905909]: 11.09.637.198 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  39414, progress = 0.47, t =  14.84 s / 2655.32 tokens per second
Aug 19 17:01:44 smarty run.sh[905909]: 11.10.594.207 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  41462, progress = 0.50, t =  15.80 s / 2624.65 tokens per second
Aug 19 17:01:45 smarty run.sh[905909]: 11.11.569.179 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  43510, progress = 0.52, t =  16.77 s / 2594.58 tokens per second
Aug 19 17:01:46 smarty run.sh[905909]: 11.12.561.396 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  45558, progress = 0.54, t =  17.76 s / 2565.26 tokens per second
Aug 19 17:01:47 smarty run.sh[905909]: 11.13.572.766 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  47606, progress = 0.57, t =  18.77 s / 2536.58 tokens per second
Aug 19 17:01:48 smarty run.sh[905909]: 11.14.599.862 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  49654, progress = 0.59, t =  19.79 s / 2508.66 tokens per second
Aug 19 17:01:49 smarty run.sh[905909]: 11.15.645.427 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  51702, progress = 0.62, t =  20.84 s / 2481.42 tokens per second
Aug 19 17:01:50 smarty run.sh[905909]: 11.16.709.222 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  53750, progress = 0.64, t =  21.90 s / 2454.72 tokens per second
Aug 19 17:01:51 smarty run.sh[905909]: 11.17.790.319 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  55798, progress = 0.67, t =  22.98 s / 2428.62 tokens per second
Aug 19 17:01:52 smarty run.sh[905909]: 11.18.888.771 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  57846, progress = 0.69, t =  24.07 s / 2403.11 tokens per second
Aug 19 17:01:54 smarty run.sh[905909]: 11.20.005.994 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  59894, progress = 0.72, t =  25.19 s / 2378.08 tokens per second
Aug 19 17:01:55 smarty run.sh[905909]: 11.21.141.199 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  61942, progress = 0.74, t =  26.32 s / 2353.60 tokens per second
Aug 19 17:01:56 smarty run.sh[905909]: 11.22.294.933 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  63990, progress = 0.76, t =  27.47 s / 2329.59 tokens per second
Aug 19 17:01:57 smarty run.sh[905909]: 11.23.465.976 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  66038, progress = 0.79, t =  28.64 s / 2305.99 tokens per second
Aug 19 17:01:58 smarty run.sh[905909]: 11.24.657.881 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  68086, progress = 0.81, t =  29.82 s / 2282.89 tokens per second
Aug 19 17:01:59 smarty run.sh[905909]: 11.25.862.926 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  70134, progress = 0.84, t =  31.03 s / 2260.23 tokens per second
Aug 19 17:02:01 smarty run.sh[905909]: 11.27.087.112 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  72182, progress = 0.86, t =  32.25 s / 2238.15 tokens per second
Aug 19 17:02:02 smarty run.sh[905909]: 11.28.328.961 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  74230, progress = 0.89, t =  33.49 s / 2216.46 tokens per second
Aug 19 17:02:03 smarty run.sh[905909]: 11.29.591.330 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  76278, progress = 0.91, t =  34.75 s / 2195.05 tokens per second
Aug 19 17:02:04 smarty run.sh[905909]: 11.30.872.134 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  78326, progress = 0.94, t =  36.03 s / 2174.02 tokens per second
Aug 19 17:02:06 smarty run.sh[905909]: 11.32.172.601 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  80374, progress = 0.96, t =  37.33 s / 2153.30 tokens per second
Aug 19 17:02:07 smarty run.sh[905909]: 11.33.492.539 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  82422, progress = 0.98, t =  38.64 s / 2132.95 tokens per second
Aug 19 17:02:08 smarty run.sh[905909]: 11.34.036.022 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  83212, progress = 0.99, t =  39.27 s / 2118.93 tokens per second
Aug 19 17:02:08 smarty run.sh[905909]: 11.34.500.311 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  83724, progress = 1.00, t =  39.71 s / 2108.34 tokens per second
Aug 19 17:02:11 smarty run.sh[905909]: 11.37.697.024 I slot print_timing: id  0 | task 45 | n_gen =    251, tg =  83.02 t/s, tg_3s =  83.35 t/s
Aug 19 17:02:14 smarty run.sh[905909]: 11.40.701.641 I slot print_timing: id  0 | task 45 | n_gen =    493, tg =  81.78 t/s, tg_3s =  80.54 t/s
Aug 19 17:02:17 smarty run.sh[905909]: 11.43.703.749 I slot print_timing: id  0 | task 45 | n_gen =    718, tg =  79.51 t/s, tg_3s =  74.95 t/s
Aug 19 17:02:20 smarty run.sh[905909]: 11.46.715.624 I slot print_timing: id  0 | task 45 | n_gen =    983, tg =  81.63 t/s, tg_3s =  87.99 t/s
Aug 19 17:02:23 smarty run.sh[905909]: 11.49.728.706 I slot print_timing: id  0 | task 45 | n_gen =   1211, tg =  80.44 t/s, tg_3s =  75.67 t/s
Aug 19 17:02:26 smarty run.sh[905909]: 11.52.748.067 I slot print_timing: id  0 | task 45 | n_gen =   1442, tg =  79.78 t/s, tg_3s =  76.51 t/s
Aug 19 17:02:29 smarty run.sh[905909]: 11.55.775.155 I slot print_timing: id  0 | task 45 | n_gen =   1679, tg =  79.57 t/s, tg_3s =  78.29 t/s
Aug 19 17:02:32 smarty run.sh[905909]: 11.58.805.509 I slot print_timing: id  0 | task 45 | n_gen =   1895, tg =  78.53 t/s, tg_3s =  71.28 t/s
Aug 19 17:02:35 smarty run.sh[905909]: 12.01.806.132 I slot print_timing: id  0 | task 45 | n_gen =   2110, tg =  77.76 t/s, tg_3s =  71.65 t/s
Aug 19 17:02:38 smarty run.sh[905909]: 12.04.822.846 I slot print_timing: id  0 | task 45 | n_gen =   2347, tg =  77.84 t/s, tg_3s =  78.56 t/s
Aug 19 17:02:41 smarty run.sh[905909]: 12.07.842.593 I slot print_timing: id  0 | task 45 | n_gen =   2618, tg =  78.93 t/s, tg_3s =  89.74 t/s
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.831.719 I slot print_timing: id  0 | task 45 | prompt eval time =   40028.75 ms / 83728 tokens (    0.48 ms per token,  2091.70 tokens per second)
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.831.720 I slot print_timing: id  0 | task 45 |        eval time =   35145.86 ms /  2840 tokens (   12.38 ms per token,    80.78 tokens per second)
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.831.721 I slot print_timing: id  0 | task 45 |       total time =   75174.61 ms / 86568 tokens
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.831.721 I slot print_timing: id  0 | task 45 |    graphs reused =       1081
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.831.723 I slot print_timing: id  0 | task 45 | draft acceptance = 0.53327 ( 1747 accepted /  3276 generated), mean len =  2.60
Aug 19 17:02:43 smarty run.sh[905909]: 12.09.833.157 I slot      release: id  0 | task 45 | stop processing: n_tokens = 86567, truncated = 0
Aug 19 17:02:44 smarty run.sh[905909]: 12.10.086.696 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.976 (> 0.100 thold), f_keep = 1.000
Aug 19 17:02:44 smarty run.sh[905909]: 12.10.087.182 I slot launch_slot_: id  0 | task 1182 | processing task, is_child = 0
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.344.994 I slot print_timing: id  0 | task 1182 | prompt eval time =    1814.19 ms /  2151 tokens (    0.84 ms per token,  1185.65 tokens per second)
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.344.997 I slot print_timing: id  0 | task 1182 |        eval time =    2443.37 ms /   217 tokens (   11.31 ms per token,    88.40 tokens per second)
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.344.997 I slot print_timing: id  0 | task 1182 |       total time =    4257.56 ms /  2368 tokens
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.344.997 I slot print_timing: id  0 | task 1182 |    graphs reused =       1153
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.344.999 I slot print_timing: id  0 | task 1182 | draft acceptance = 0.64865 (  144 accepted /   222 generated), mean len =  2.95
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.346.533 I slot      release: id  0 | task 1182 | stop processing: n_tokens = 88936, truncated = 0
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.550.036 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.971 (> 0.100 thold), f_keep = 1.000
Aug 19 17:02:48 smarty run.sh[905909]: 12.14.550.602 I slot launch_slot_: id  0 | task 1260 | processing task, is_child = 0
Aug 19 17:02:53 smarty run.sh[905909]: 12.19.800.312 I slot print_timing: id  0 | task 1260 | n_gen =    276, tg =  90.74 t/s, tg_3s =  91.06 t/s
Aug 19 17:02:56 smarty run.sh[905909]: 12.22.834.530 I slot print_timing: id  0 | task 1260 | n_gen =    559, tg =  92.00 t/s, tg_3s =  93.27 t/s
Aug 19 17:02:59 smarty run.sh[905909]: 12.25.839.897 I slot print_timing: id  0 | task 1260 | n_gen =    834, tg =  91.84 t/s, tg_3s =  91.50 t/s
Aug 19 17:03:02 smarty run.sh[905909]: 12.28.850.669 I slot print_timing: id  0 | task 1260 | n_gen =   1056, tg =  87.33 t/s, tg_3s =  73.74 t/s
Aug 19 17:03:05 smarty run.sh[905909]: 12.31.855.141 I slot print_timing: id  0 | task 1260 | n_gen =   1339, tg =  88.69 t/s, tg_3s =  94.19 t/s
Aug 19 17:03:08 smarty run.sh[905909]: 12.34.859.343 I slot print_timing: id  0 | task 1260 | n_gen =   1661, tg =  91.76 t/s, tg_3s = 107.18 t/s
Aug 19 17:03:11 smarty run.sh[905909]: 12.37.886.084 I slot print_timing: id  0 | task 1260 | n_gen =   1910, tg =  90.40 t/s, tg_3s =  82.27 t/s
Aug 19 17:03:14 smarty run.sh[905909]: 12.40.887.668 I slot print_timing: id  0 | task 1260 | n_gen =   2175, tg =  90.14 t/s, tg_3s =  88.29 t/s
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.593.522 I slot print_timing: id  0 | task 1260 | prompt eval time =    2218.74 ms /  2671 tokens (    0.83 ms per token,  1203.84 tokens per second)
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.593.524 I slot print_timing: id  0 | task 1260 |        eval time =   25823.95 ms /  2345 tokens (   11.02 ms per token,    90.77 tokens per second)
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.593.525 I slot print_timing: id  0 | task 1260 |       total time =   28042.69 ms /  5016 tokens
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.593.525 I slot print_timing: id  0 | task 1260 |    graphs reused =       1910
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.593.527 I slot print_timing: id  0 | task 1260 | draft acceptance = 0.68490 ( 1578 accepted /  2304 generated), mean len =  3.05
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.595.058 I slot      release: id  0 | task 1260 | stop processing: n_tokens = 93953, truncated = 0
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.638.041 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 173803024971
Aug 19 17:03:16 smarty run.sh[905909]: 12.42.642.860 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 3992.130 MiB)
Aug 19 17:03:18 smarty run.sh[905909]: 12.44.297.312 I slot launch_slot_: id  0 | task 2033 | processing task, is_child = 0
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.850 I slot print_timing: id  0 | task 2033 | prompt eval time =     445.05 ms /   704 tokens (    0.63 ms per token,  1581.86 tokens per second)
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.852 I slot print_timing: id  0 | task 2033 |        eval time =     753.34 ms /   109 tokens (    6.98 ms per token,   143.36 tokens per second)
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.852 I slot print_timing: id  0 | task 2033 |       total time =    1198.39 ms /   813 tokens
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.852 I slot print_timing: id  0 | task 2033 |    graphs reused =       1941
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.854 I slot print_timing: id  0 | task 2033 | draft acceptance = 0.78788 (   78 accepted /    99 generated), mean len =  3.36
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.889 I slot      release: id  0 | task 2033 | stop processing: n_tokens = 815, truncated = 0
Aug 19 17:03:19 smarty run.sh[905909]: 12.45.495.970 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 173805925801
Aug 19 17:03:20 smarty run.sh[905909]: 12.46.106.254 I slot launch_slot_: id  0 | task 2034 | processing task, is_child = 0
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.232.080 I slot print_timing: id  0 | task 2034 | prompt eval time =    1216.71 ms /  1157 tokens (    1.05 ms per token,   950.92 tokens per second)
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.232.082 I slot print_timing: id  0 | task 2034 |        eval time =    1908.88 ms /   158 tokens (   12.16 ms per token,    82.25 tokens per second)
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.232.082 I slot print_timing: id  0 | task 2034 |       total time =    3125.59 ms /  1315 tokens
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.232.082 I slot print_timing: id  0 | task 2034 |    graphs reused =       1995
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.232.085 I slot print_timing: id  0 | task 2034 | draft acceptance = 0.61310 (  103 accepted /   168 generated), mean len =  2.84
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.233.740 I slot      release: id  0 | task 2034 | stop processing: n_tokens = 95269, truncated = 0
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.479.838 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 1.000
Aug 19 17:03:23 smarty run.sh[905909]: 12.49.480.322 I slot launch_slot_: id  0 | task 2131 | processing task, is_child = 0
Aug 19 17:03:27 smarty run.sh[905909]: 12.53.128.270 I slot print_timing: id  0 | task 2131 | n_gen =    306, tg = 100.72 t/s, tg_3s = 101.04 t/s
Aug 19 17:03:30 smarty run.sh[905909]: 12.56.132.429 I slot print_timing: id  0 | task 2131 | n_gen =    535, tg =  88.52 t/s, tg_3s =  76.23 t/s
Aug 19 17:03:33 smarty run.sh[905909]: 12.59.140.891 I slot print_timing: id  0 | task 2131 | n_gen =    811, tg =  89.59 t/s, tg_3s =  91.74 t/s
Aug 19 17:03:36 smarty run.sh[905909]: 13.02.159.167 I slot print_timing: id  0 | task 2131 | n_gen =   1089, tg =  90.22 t/s, tg_3s =  92.11 t/s
Aug 19 17:03:39 smarty run.sh[905909]: 13.05.159.179 I slot print_timing: id  0 | task 2131 | n_gen =   1404, tg =  93.17 t/s, tg_3s = 105.00 t/s
Aug 19 17:03:42 smarty run.sh[905909]: 13.08.190.609 I slot print_timing: id  0 | task 2131 | n_gen =   1682, tg =  92.92 t/s, tg_3s =  91.71 t/s
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.200.596 I slot print_timing: id  0 | task 2131 | n_gen =   1997, tg =  94.59 t/s, tg_3s = 104.65 t/s
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.615.598 I slot print_timing: id  0 | task 2131 | prompt eval time =     619.50 ms /   374 tokens (    1.66 ms per token,   603.72 tokens per second)
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.615.599 I slot print_timing: id  0 | task 2131 |        eval time =   21515.61 ms /  2045 tokens (   10.53 ms per token,    95.00 tokens per second)
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.615.600 I slot print_timing: id  0 | task 2131 |       total time =   22135.11 ms /  2419 tokens
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.615.600 I slot print_timing: id  0 | task 2131 |    graphs reused =       2608
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.615.602 I slot print_timing: id  0 | task 2131 | draft acceptance = 0.76206 ( 1422 accepted /  1866 generated), mean len =  3.29
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.617.259 I slot      release: id  0 | task 2131 | stop processing: n_tokens = 97687, truncated = 0
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.829.706 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 0.996
Aug 19 17:03:45 smarty run.sh[905909]: 13.11.830.244 I slot launch_slot_: id  0 | task 2756 | processing task, is_child = 0
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.351.382 I slot print_timing: id  0 | task 2756 | prompt eval time =    2425.74 ms /  2670 tokens (    0.91 ms per token,  1100.70 tokens per second)
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.351.384 I slot print_timing: id  0 | task 2756 |        eval time =    1095.24 ms /   111 tokens (    9.96 ms per token,   100.43 tokens per second)
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.351.384 I slot print_timing: id  0 | task 2756 |       total time =    3520.98 ms /  2781 tokens
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.351.385 I slot print_timing: id  0 | task 2756 |    graphs reused =       2639
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.351.387 I slot print_timing: id  0 | task 2756 | draft acceptance = 0.81250 (   78 accepted /    96 generated), mean len =  3.44
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.353.066 I slot      release: id  0 | task 2756 | stop processing: n_tokens = 98419, truncated = 0
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.575.924 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
Aug 19 17:03:49 smarty run.sh[905909]: 13.15.576.405 I slot launch_slot_: id  0 | task 2793 | processing task, is_child = 0
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.136.831 I slot print_timing: id  0 | task 2793 | prompt eval time =     827.94 ms /   579 tokens (    1.43 ms per token,   699.32 tokens per second)
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.136.834 I slot print_timing: id  0 | task 2793 |        eval time =    1732.27 ms /   155 tokens (   11.25 ms per token,    88.90 tokens per second)
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.136.834 I slot print_timing: id  0 | task 2793 |       total time =    2560.22 ms /   734 tokens
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.136.834 I slot print_timing: id  0 | task 2793 |    graphs reused =       2687
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.136.837 I slot print_timing: id  0 | task 2793 | draft acceptance = 0.70667 (  106 accepted /   150 generated), mean len =  3.12
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.138.528 I slot      release: id  0 | task 2793 | stop processing: n_tokens = 99154, truncated = 0
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.350.662 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
Aug 19 17:03:52 smarty run.sh[905909]: 13.18.351.183 I slot launch_slot_: id  0 | task 2847 | processing task, is_child = 0
Aug 19 17:03:56 smarty run.sh[905909]: 13.22.195.151 I slot print_timing: id  0 | task 2847 | n_gen =    312, tg = 103.07 t/s, tg_3s = 103.40 t/s
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.895.175 I slot print_timing: id  0 | task 2847 | prompt eval time =     826.55 ms /   576 tokens (    1.43 ms per token,   696.87 tokens per second)
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.895.177 I slot print_timing: id  0 | task 2847 |        eval time =    4717.19 ms /   500 tokens (    9.45 ms per token,   105.78 tokens per second)
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.895.177 I slot print_timing: id  0 | task 2847 |       total time =    5543.74 ms /  1076 tokens
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.895.178 I slot print_timing: id  0 | task 2847 |    graphs reused =       2819
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.895.180 I slot print_timing: id  0 | task 2847 | draft acceptance = 0.90370 (  366 accepted /   405 generated), mean len =  3.71
Aug 19 17:03:57 smarty run.sh[905909]: 13.23.896.838 I slot      release: id  0 | task 2847 | stop processing: n_tokens = 100231, truncated = 0
Aug 19 17:03:58 smarty run.sh[905909]: 13.24.121.169 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 17:03:58 smarty run.sh[905909]: 13.24.121.707 I slot launch_slot_: id  0 | task 2986 | processing task, is_child = 0
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.000.119 I slot print_timing: id  0 | task 2986 | prompt eval time =     639.62 ms /   302 tokens (    2.12 ms per token,   472.16 tokens per second)
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.000.122 I slot print_timing: id  0 | task 2986 |        eval time =    1238.52 ms /   117 tokens (   10.68 ms per token,    93.66 tokens per second)
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.000.122 I slot print_timing: id  0 | task 2986 |       total time =    1878.14 ms /   419 tokens
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.000.123 I slot print_timing: id  0 | task 2986 |    graphs reused =       2852
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.000.126 I slot print_timing: id  0 | task 2986 | draft acceptance = 0.79048 (   83 accepted /   105 generated), mean len =  3.37
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.001.851 I slot      release: id  0 | task 2986 | stop processing: n_tokens = 100651, truncated = 0
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.234.151 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:00 smarty run.sh[905909]: 13.26.234.654 I slot launch_slot_: id  0 | task 3024 | processing task, is_child = 0
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.272.402 I slot print_timing: id  0 | task 3024 | prompt eval time =    1051.95 ms /   860 tokens (    1.22 ms per token,   817.53 tokens per second)
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.272.404 I slot print_timing: id  0 | task 3024 |        eval time =     985.57 ms /    97 tokens (   10.27 ms per token,    97.41 tokens per second)
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.272.405 I slot print_timing: id  0 | task 3024 |       total time =    2037.53 ms /   957 tokens
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.272.405 I slot print_timing: id  0 | task 3024 |    graphs reused =       2879
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.272.407 I slot print_timing: id  0 | task 3024 | draft acceptance = 0.83333 (   70 accepted /    84 generated), mean len =  3.50
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.274.090 I slot      release: id  0 | task 3024 | stop processing: n_tokens = 101609, truncated = 0
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.479.551 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
Aug 19 17:04:02 smarty run.sh[905909]: 13.28.480.041 I slot launch_slot_: id  0 | task 3056 | processing task, is_child = 0
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.294.444 I slot print_timing: id  0 | task 3056 | prompt eval time =     696.53 ms /   343 tokens (    2.03 ms per token,   492.44 tokens per second)
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.294.445 I slot print_timing: id  0 | task 3056 |        eval time =    1117.70 ms /   126 tokens (    8.94 ms per token,   111.84 tokens per second)
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.294.446 I slot print_timing: id  0 | task 3056 |       total time =    1814.23 ms /   469 tokens
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.294.446 I slot print_timing: id  0 | task 3056 |    graphs reused =       2910
Aug 19 17:04:04 smarty run.sh[905909]: 13.30.294.448 I slot print_timing: id  0 | task 3056 | draft acceptance = 0.96875 (   93 accepted /    96 generated), mean len =  3.91
